Bib,Wave,Division,AgeDivision,Gender,PreviousBestTime,TimeToHut,TimeToRoad,TotalTime
0,8,MastersM,2,1,13905,10341,13648,14490
0,5,OpenW,1,0,12359,9268,12087,12740
0,3,YoungM,0,1,,8364,10681,11244
0,2,OpenM,1,1,,9215,11894,12581
0,2,OlderM,3,1,10594,8647,11286,11980
0,3,OpenM,1,1,11391,7963,10087,10589
0,11,MastersW,2,0,18748,14864,18851,19869
0,3,MastersM,2,1,11400,8268,10513,11087
0,6,OpenM,1,1,,10674,13872,14593
0,9,OpenM,1,1,,10820,14160,15017
0,3,OpenM,1,1,,7459,9735,10282
0,9,MastersM,2,1,,18814,23996,24920
0,11,OpenW,1,0,,14181,18037,18844
0,5,OpenW,1,0,12378,8940,11549,12168
0,9,OlderM,3,1,,12373,15751,16511
0,3,MastersM,2,1,11383,7781,10013,10551
0,11,OlderW,3,0,,11105,14171,14847
0,10,OpenW,1,0,16553,12411,15750,16477
0,11,OpenW,1,0,,17376,21490,22325
0,3,OpenM,1,1,11723,8213,10335,10829
0,7,MastersM,2,1,12963,10684,13646,14380
0,2,OpenM,1,1,10732,7514,9818,10414
0,2,MastersM,2,1,,8898,11521,12128
0,2,OpenM,1,1,10529,8279,10836,11530
0,8,OpenM,1,1,,8687,10971,11552
0,10,OpenW,1,0,,14357,17932,18721
0,4,OlderM,3,1,12044,8134,10271,10848
0,4,OpenM,1,1,,8779,11151,11736
0,6,MastersM,2,1,13391,8856,11445,12077
0,11,OldestW,4,0,,12411,15894,16661
0,4,OpenM,1,1,,8260,10708,11400
0,8,MastersM,2,1,14581,12605,16382,17266
0,10,MastersM,2,1,,11065,13743,14360
0,10,MastersW,2,0,,11473,14518,15216
0,1,YoungM,0,1,,8301,10961,11630
0,4,OlderM,3,1,11521,9095,11578,12141
0,9,OpenW,1,0,17908,11116,14257,14970
0,3,OpenM,1,1,12941,8555,11368,12162
0,9,OlderM,3,1,10790,11118,14259,14997
0,6,OpenW,1,0,,10051,12785,13429
0,7,OpenM,1,1,,,,
0,1,OpenM,1,1,10455,7232,9639,10278
0,9,OlderW,3,0,,11395,14612,15340
0,0,YoungM,0,1,,6541,8353,8834
0,2,OlderM,3,1,,8065,10415,10986
0,8,MastersM,2,1,12424,11387,14942,15898
0,10,MastersW,2,0,,12076,15391,16143
0,8,MastersM,2,1,,9783,12524,13177
0,4,OpenM,1,1,,7366,9835,10480
0,4,OpenM,1,1,13584,8940,11392,11953
0,10,MastersW,2,0,,12086,15489,16226
